Institution, Institut, Address, PLZ, Ort
Universitaet Bremen, Institut Technik & Bildung, Am Fallturm 1, 28359, Bremen
Ruhr-Universitaet Bochum, Institut für Arbeitswissenschaft, Universitaetsstraße 150, 44780, Bochum
Technische Universitaet Dortmund, Lehrstuhl fuer Fabrikorganisation, Leonhard-Euler-Straße 5, 44227, Dortmund
Martin-Luther-Universitaet Halle-Wittenberg, Zentrum für Sozialforschung e.V., Großer Berlin 14, 06108, Halle
Helmut-Schmidt-Universitaet, Professur für Organisationstheorie, Holstenhofweg 85, 22043, Hamburg
BIBA, Bremer Institut fuer Produktion und Logistik GmbH, Hochschulring 20, 28359, Bremen
Universitaet Hamburg, Fachbereich Psychologie, Von-Melle-Park 11, 20146, Hamburg
IPRI, International Performance Research Institute gGmbH, Königstraße 5,70173, Stuttgart
Universitaetsklinikum Münster (UKM) Klinik für Anaesthesieologie, Operative Intensivmedizin und Schmerztherapie, Albert-Schweitzer-Campus 1, 48149, Münster
Technische Universitaet Carolo-Wilhelmina zu Braunschweig, Institut fuer Psychologie, Spielmannstraße 19, 38106, Braunschweig
TU Chemnitz, Arbeitswissenschaft und Innovationsmanagement, Straße der Nationen 62, 09111, Chemnitz
Ernst-Moritz-Arndt-Universitaet, Institut fuer Psychologie, Franz-Mehring-Straße 47, 17847, Greifswald
Dr.-Ing. Paul Christiani GmbH Co. KG, Dr.-Ing. Paul Christiani GmbH Co. KG, Hermann-Hesse-Weg 2, 78464, Konstanz
Technische Universitaet München, Lehrstuhl Produktentwicklung, Boltzmannstraße 15, 85748, Garching
Ruhr-Universitaet Bochum, Institut fuer angewandte Innovationsforschung (IAI) Bochum e.V., Buscheyplatz 13, 44801, Bochum
TOPSTAR GmbH, TOPSTAR GmbH, Augsburger Straße 29, 86863, Langenneufnach
Technische Universitaet Darmstadt, Institut für Produktionsmanagement – Technologie und Werkezugmaschinen, Otto-Berndt-Straße 2, 64287, Darmstadt
Universitaet Kassel, Fachgebiet Wirtschaftsinformatik, Pfannkuchstraße 1, 34121, Kassel
Universitaet-Koblenz-Landau, Institut für Management, Universitaetsstraß 1, 56070, Koblenz
Friedrich-schiller-Universitaet,Institut fuer Soziologie, Carl-zeiß-Straße 2,07743, Jena
Hochschule Karlsruhe, Technik und Wirtschaft, Moltkestraße 30, 76133, Karlsruhe
Frauenhofer Institut, Institut für Software und Systemtechnik ISST, Emil-Figge-Straße 91, 44227, Dortmund
Universitaet Duisburg-Essen, Rhein-Ruhr-Institut für Sozialforschung und Politikberatung (RISP), Heinrich-Lersch-Straße 15, 45057, Duisburg
Arbeitsgemeinschaft, Arbeitsgemeinschaft Jugendfreizeitstaetten Sachsen e.V. (AGJF), Neefestraße 82, 09119, Chemnitz
Goethe-Universitaet Frankfurt a.M., Institut für Wirtschaft und Arbeit und Kultur (IWAK), Senckenberganlage 31, 60325, Frankfurt
Frauenhofer Institut, Insitut für Arbeitswissenschaft und Organisation IAO, Nobelstraße 12, 70569, Stuttgart
Institut für Sozialwissenschaftliche Forschung e.V.,Institut für Sozialwissenschaftliche Forschung e.V., Jakob-Klar-Straße 9, 80796, München
Technische Universitaet Chemnitz, Professur für Fabrikplanung und Fabrikbetrieb, Erfenschlager Straße 73, 09125, Chemnitz
Friedrich-Alexander-Universitaet (FAU)Erlangen-Nürnberg, Lehrstuhl für Psychologie, Lange Gasse 20, 90403, Nürnberg
Bergische Universitaet Wuppertal,Fachbereich G: Berfus- u. Weiterbildung, Gaußstraße 20, 42119, Wuppertal
Rhein-Ruhr Institut fuer angewandte Systeminnovation e.V. (RIAS), Rhein-Ruhr Institut fuer angewandte Systeminnovation e.V. (RIAS), Buergerstraße 15, 47057, Duisburg